Id,Predicted
0,2034950.0179290771
1,2623757.3623657227
2,782326.4002799988
3,950930.4761886597
4,20466678.619384766
5,984701.0374069214
6,1058278.5606384277
7,5562412.738800049
8,2600278.13911438
9,4744002.342224121
10,2956876.516342163
11,5831262.588500977
12,2207262.0391845703
13,2832501.173019409
14,2275087.1181488037
15,1682901.9784927368
16,2241628.646850586
17,2240466.1178588867
18,2596911.668777466
19,1642145.276069641
20,1544387.2213363647
21,3072348.5946655273
22,1381266.713142395
23,1859741.9261932373
24,1535846.5909957886
25,1780344.2478179932
26,1261650.4430770874
27,11259821.891784668
28,1021542.4299240112
29,2787010.908126831
30,51895553.58886719
31,2275897.50289917
32,2940611.8392944336
33,720378.9353370667
34,1281038.2843017578
35,1860470.8909988403
36,1424551.1293411255
37,2813150.644302368
38,8641125.679016113
39,2825419.4259643555
40,1502237.08152771
41,924655.3778648376
42,63433212.28027344
43,2158324.4800567627
44,1031174.5405197144
45,1457732.4390411377
46,1921801.3286590576
47,1982960.3433609009
48,3339765.5487060547
49,1502307.1765899658
50,1823963.8805389404
51,2577582.836151123
52,2606940.746307373
53,927401.7214775085
54,1326369.8816299438
55,2695778.1314849854
56,1902207.1361541748
57,969842.255115509
58,2427147.626876831
59,5364101.409912109
60,1516139.6265029907
61,1845463.2759094238
62,975129.1275024414
63,2033249.6166229248
64,1172043.800354004
65,4548915.386199951
66,1025424.2420196533
67,1673223.614692688
68,5349174.976348877
69,1443324.089050293
70,5849713.8023376465
71,1079891.4432525635
72,996847.2123146057
73,1475212.0971679688
74,1453480.1244735718
75,2768095.016479492
76,4641746.520996094
77,1468091.4878845215
78,1300098.8960266113
79,2815756.7977905273
80,15449659.34753418
81,7659749.0310668945
82,888439.8341178894
83,4323632.24029541
84,943089.1275405884
85,12938799.858093262
86,6926036.357879639
87,3277100.086212158
88,7513972.282409668
89,2388948.440551758
90,3228127.0027160645
91,1289795.7563400269
92,1100461.2445831299
93,1112520.3371047974
94,1669049.1437911987
95,2830922.1267700195
96,4643085.479736328
97,1120023.3697891235
98,1339178.3237457275
99,2111284.7328186035
100,1483154.296875
101,1605859.9948883057
102,3088967.5617218018
103,2751661.0622406006
104,1141052.9613494873
105,830450.5944252014
106,5093868.255615234
107,825033.9031219482
108,1310157.7758789062
109,2647114.7537231445
110,1575845.718383789
111,3843937.1585845947
112,3243907.4516296387
113,2102572.9179382324
114,1878609.538078308
115,2291020.8702087402
116,2832501.173019409
117,2888023.3764648438
118,1723549.3659973145
119,2524635.076522827
120,7000097.274780273
121,2675668.478012085
122,1859385.371208191
123,1811676.6214370728
124,11039638.51928711
125,2903657.913208008
126,1763046.145439148
127,5171546.459197998
128,1697731.9717407227
129,3721246.4809417725
130,5473656.177520752
131,759308.397769928
132,1136283.8745117188
133,1536946.6543197632
134,10167332.649230957
135,1505918.6220169067
136,2169986.9632720947
137,4872316.360473633
138,1052376.0318756104
139,966126.8591880798
140,1682420.015335083
141,3373305.082321167
142,2959258.3179473877
143,2399115.0856018066
144,1408211.588859558
145,1748479.3663024902
146,758554.8758506775
147,3094442.60597229
148,1817428.5888671875
149,3561003.4465789795
150,3636825.0846862793
151,1427215.337753296
152,2455052.375793457
153,895004.0340423584
154,1715549.5882034302
155,1774484.9920272827
156,2071700.3345489502
157,1340952.2771835327
158,2053428.6499023438
159,1517632.007598877
160,798399.6272087097
161,1435052.752494812
162,1736878.8719177246
163,3019282.817840576
164,14467762.94708252
165,2329993.486404419
166,2202940.4640197754
167,2204702.138900757
168,1682956.0995101929
169,7004026.412963867
170,1680901.8850326538
171,3356658.697128296
172,1143305.6592941284
173,6652839.183807373
174,1165186.2859725952
175,3299504.041671753
176,2074707.7465057373
177,1489802.360534668
178,3716841.459274292
179,1695085.5255126953
180,1436135.5304718018
181,1609756.350517273
182,784198.2841491699
183,1679364.3236160278
184,1753784.7757339478
185,1448195.8150863647
186,1763798.5944747925
187,2279843.56880188
188,1695605.1588058472
189,14115279.197692871
190,3616075.5157470703
191,1164476.1562347412
192,1756376.028060913
193,1309176.0873794556
194,1731965.6610488892
195,2362858.772277832
196,5293140.888214111
197,3951445.8179473877
198,4544110.298156738
199,2986498.1174468994
200,3129746.913909912
201,979101.1214256287
202,833361.5064620972
203,3639231.2049865723
204,1023422.0027923584
205,11523627.281188965
206,1398737.4305725098
207,8225791.931152344
208,2429532.527923584
