Id,Predicted
0,1975699.9840191824
1,2585345.379337114
2,759155.9339212399
3,1011428.8015814382
4,21435244.85267856
5,967123.9571603852
6,1061882.4947299226
7,5908845.808929558
8,2404732.982730264
9,4675692.298850932
10,2789547.6148438607
11,5770073.868083753
12,2315903.8598511606
13,2898104.946169786
14,2200886.118598828
15,1689468.4564173636
16,2240008.8119513206
17,2219335.9423778234
18,2741539.4590732846
19,1602928.135141472
20,1575449.6294652612
21,3087882.7524976158
22,1333893.7125129858
23,1848669.4249092052
24,1532924.9787334679
25,1572404.9113696055
26,1207258.7358646165
27,11269544.561546087
28,1086388.1147066033
29,2560904.5363805983
30,44182362.76339284
31,2472768.900054084
32,3023430.2786534685
33,724683.0302813601
34,1329431.345777985
35,2020425.125775257
36,1413429.8348423208
37,2847319.1557049644
38,8504311.261100436
39,2614574.6682846234
40,1296839.6499234228
41,897978.2161293363
42,64291800.636904754
43,2540843.9373818464
44,901982.2233179677
45,1456535.4865221702
46,1880883.4135972331
47,1945643.1818629452
48,3531050.892857145
49,1441343.9052874134
50,1936407.2283247495
51,2710960.7160533145
52,2357626.8098202916
53,1063655.6770529684
54,1312071.2174012505
55,2739811.613431503
56,1959894.30505565
57,909246.5145377408
58,2341458.019222622
59,4873099.484495316
60,1571124.8328094431
61,1798708.272918192
62,1005859.4123871665
63,2056944.7452880905
64,1235292.391816106
65,3724546.996369951
66,1356862.226686507
67,1519661.027980095
68,5460562.955425255
69,1552098.773179424
70,5684152.26675466
71,1118788.887863516
72,923492.319751449
73,1563916.858557068
74,1489900.8659833656
75,2812810.387604708
76,4717517.303832917
77,1412221.5271298997
78,1123365.6162431322
79,2703805.256540806
80,13749615.540413132
81,7929560.558040684
82,808342.871368597
83,4519244.728394506
84,872713.2719887951
85,13266609.97010718
86,6808020.029254651
87,3293048.6829471043
88,6409004.854166672
89,2444114.807093801
90,3508726.516121031
91,1364771.7862141817
92,1197140.968005953
93,1043686.450416534
94,1729802.7080160333
95,2845820.808285114
96,4639202.463519124
97,1176648.6712481324
98,1293051.8501089306
99,1894623.3370381417
100,1402490.1064155872
101,1424658.1096358213
102,3303707.7608207897
103,2847750.5960343853
104,1064524.5979083725
105,909705.1302583624
106,5081357.130324056
107,820742.8471801102
108,1258155.7038355682
109,2504250.512064931
110,1485598.3781024897
111,3888959.8016748386
112,3206989.5601907605
113,2084771.2674585911
114,1923220.4977259536
115,2511169.071331389
116,2898104.946169786
117,2862671.5879120873
118,1676210.4738413447
119,2521894.0441699363
120,6880887.771761227
121,2608809.932382267
122,1649883.2273534406
123,1921228.3973265737
124,10806195.627976183
125,3210523.2873312193
126,1801139.9304556109
127,5102470.514798975
128,1594781.800067708
129,3629111.0634688823
130,6121478.024770919
131,698707.061655721
132,1254475.4932368472
133,1411424.8123594194
134,9385326.708085319
135,1381889.0376585054
136,2138575.6567164133
137,5059664.922638104
138,964877.974348402
139,946374.2534067727
140,1681265.77373753
141,3314617.0357826976
142,2943846.124913637
143,2416735.0895798868
144,1314736.830884661
145,1810707.5697261856
146,750861.3503826992
147,3363721.849682931
148,1727035.8759458486
149,3500430.3692606855
150,3611477.0096535613
151,1337849.379092262
152,2353049.2827380956
153,865015.6040942528
154,1778835.994756064
155,1859628.2131063866
156,2118653.013385258
157,1302750.4727771024
158,1930167.7995211647
159,1596692.3945968258
160,802296.6014914298
161,1491943.3110518558
162,1718420.0337125016
163,2753296.637011771
164,13978928.317708349
165,2571792.376290935
166,2228250.0676277988
167,2141461.7426327826
168,1630453.621225549
169,6632271.017450995
170,1641444.0751676457
171,3459088.9524885523
172,1103514.0950077872
173,6953462.662202388
174,1190780.5756593144
175,3306539.4018541262
176,2007573.6160394028
